site_name,url,title,date,facebook_total,facebook_likes,facebook_shares,facebook_comments
Straits Times,https://www.straitstimes.com/singapore/jurong-west-secondary-student-not-infected-with-covid-19-ttsh-says-it-made-a-mistake,Jurong West Secondary student not infected with Covid-19: TTSH says it made a mistake,14/7/20,6610,4158,1493,959
Straits Times,https://www.straitstimes.com/singapore/health/347-new-covid-19-cases-in-singapore-including-7-in-the-community-and-2-imported,"347 new Covid-19 cases in Singapore, including 7 in the community and 2 imported",14/7/20,5376,3561,1049,766
Channel News Asia,https://www.channelnewsasia.com/news/singapore/new-locations-visited-covid-19-cases-jul-13-mbs-seletar-mall-12928696,"Marina Bay Sands, Seletar Mall added to list of places visited by COVID-19 cases while infectious",14/7/20,3354,2002,943,409
Straits Times,https://www.straitstimes.com/singapore/322-new-covid-19-cases-in-singapore-including-11-in-the-community-and-5-imported,"322 new Covid-19 cases in Singapore, including 11 in the community and 5 imported",13/7/20,12910,7845,2673,2393
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-community-cases-singapore-moh-dorms-jul-13-12926394,"322 new COVID-19 cases in Singapore, including 11 in the community",13/7/20,12346,8315,1953,2078
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-12-people-deported-barred-from-singapore-12926636,"12 people deported, barred from re-entering Singapore after flouting COVID-19 circuit breaker rules",13/7/20,10109,7323,1718,1069
Channel News Asia,https://www.channelnewsasia.com/news/singapore/new-locations-visited-covid-19-cases-jul-12-causeway-point-12925698,"Causeway Point, Jurong Point and Rivervale Mall added to list of places visited by COVID-19 cases while infectious",12/7/20,8989,4897,3015,1077
Channel News Asia,https://www.channelnewsasia.com/news/singapore/new-locations-visited-covid-19-cases-jul-11-tangs-bugis-junction-12924508,"Tang Plaza, Bugis Junction and ICA building added to list of places visited by COVID-19 cases while infectious",12/7/20,8470,4790,2553,1127
Channel News Asia,https://www.channelnewsasia.com/news/singapore/singapore-new-covid-19-cases-july-12-moh-12925004,"Singapore reports 178 new cases of COVID-19, with 1 Singaporean and 1 imported case",12/7/20,6450,4757,1185,508
Straits Times,https://www.straitstimes.com/singapore/178-new-covid-19-cases-in-singapore-including-one-in-the-community,"178 new Covid-19 cases in Singapore, including one in the community",12/7/20,6240,4387,1208,645
Straits Times,https://www.straitstimes.com/lifestyle/entertainment/bollywood-megastar-amitabh-bachchan-says-hospitalised-with-covid-19,Bollywood megastar Amitabh Bachchan says hospitalised with Covid-19,12/7/20,3568,2374,823,371
Straits Times,https://www.straitstimes.com/politics/pm-lee-pap-will-designate-pritam-as-opposition-leader-urges-all-sporeans-to-put-aside,"GE2020: PM Lee urges all S'poreans to put aside differences to tackle Covid-19, says PAP will designate Pritam as opposition leader",11/7/20,11463,8581,1478,1404
Channel News Asia,https://www.channelnewsasia.com/news/singapore/singapore-new-covid-19-cases-july-11-moh-12923108,"Singapore reports 170 new COVID-19 infections, including 24 community cases",11/7/20,9234,6249,1744,1241
Straits Times,https://www.straitstimes.com/singapore/170-new-covid-19-cases-in-singapore-including-24-in-the-community-and-1-imported,"170 new Covid-19 cases in Singapore, including 24 in the community and 1 imported",11/7/20,7514,4877,1713,924
Straits Times,https://www.straitstimes.com/politics/ge2020-key-ministers-in-the-covid-19-battle-lead-grc-teams-to-victory-in-polls,GE2020: Key ministers in the Covid-19 battle lead GRC teams to victory in polls,11/7/20,5922,3946,335,1641
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-student-jurong-west-secondary-school-linked-to-student-12924458,"Student at Jurong West Secondary contracts COVID-19, case is linked to another student at the school: MOE",11/7/20,5861,3703,1324,835
Straits Times,https://www.straitstimes.com/singapore/new-community-covid-19-patient-linked-to-infected-schoolmate-from-jurong-west-secondary,New community Covid-19 patient linked to infected schoolmate from Jurong West Secondary School,11/7/20,4038,2390,1074,574
Straits Times,https://www.straitstimes.com/politics/ge2020-pap-returns-to-power-with-83-seats-but-loses-sengkang-and-aljunied-grcs-in-hard,"GE2020: PAP returns to power with 83 seats, but loses Sengkang and Aljunied GRCs in hard-fought Covid-19 election",11/7/20,3409,2265,468,676
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-imported-cases-citizen-pr-dormitory-jul-10-12919968,Singapore reports 191 new COVID-19 infections; 16 cases in the community,10/7/20,6095,4323,1271,502
Straits Times,https://www.straitstimes.com/singapore/health/191-new-covid-19-cases-in-singapore-including-16-in-the-community-and-1-imported,"191 new Covid-19 cases in Singapore, including 16 in the community and 1 imported",10/7/20,4723,3223,1071,429
Straits Times,http://www.straitstimes.com:80/singapore/health/191-new-covid-19-cases-in-singapore-including-16-in-the-community-and-1-imported,"191 new Covid-19 cases in Singapore, including 16 in the community and 1 imported",10/7/20,4723,3223,1071,429
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-imported-cases-citizen-pr-dormitory-jul-9-12916330,Singapore reports 21 community cases among 125 new COVID-19 infections,9/7/20,11722,8136,1929,1664
Straits Times,https://www.straitstimes.com/singapore/125-new-covid-19-cases-in-singapore-including-21-in-the-community-and-1-imported,"125 new Covid-19 cases in Singapore, including 21 in the community and 1 imported",9/7/20,8961,5803,2078,1080
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-mosque-masjid-al-ansar-visit-muis-12916710,Mosque in Bedok North visited by COVID-19 case: MUIS,9/7/20,6805,4377,1704,724
Mothership,https://mothership.sg/2020/07/covid-19-brain-damage,"Serious brain damage linked to Covid-19, new research shows",9/7/20,5731,3281,1809,641
Mothership,https://mothership.sg/2020/07/covid-19-singapore-workplace-infected,More people in S'pore getting infected with Covid-19 at workplaces since phase 2 reopening,9/7/20,5244,3315,1340,590
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-cases-places-list-tampines-mustafa-jurong-12910742,9 more locations added to list of places visited by COVID-19 cases while infectious,8/7/20,8224,4583,2520,1121
Straits Times,https://www.straitstimes.com/singapore/158-new-covid-19-cases-in-singapore-including-9-in-the-community-and-3-imported,"158 new Covid-19 cases in Singapore, including 9 in the community and 3 imported",8/7/20,5177,3505,1287,385
Channel News Asia,https://www.channelnewsasia.com/news/singapore/ge2020-singapore-s-response-to-covid-19-a-tremendous-sg-united-12910720,"GE2020: Singapore's response to COVID-19 a 'tremendous SG United effort', says Lawrence Wong",8/7/20,3592,2424,212,956
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-teacher-students-contract-coronavirus-moe-12910744,"4 students, 1 teacher contract COVID-19; students linked to household infections and were already on home quarantine: MOE",8/7/20,3474,2178,822,474
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-imported-cases-citizen-pr-dormitory-jul-7-12908192,"Singapore reports 157 new COVID-19 cases, including 20 community infections",7/7/20,16177,10705,2899,2573
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-election-no-plans-partial-lockdown-circuit-breaker-moh-12909830,"COVID-19: No active plans to go back to Phase 1 after election, says MOH director of medical services",7/7/20,13261,6816,3734,2711
Straits Times,https://www.straitstimes.com/singapore/157-new-covid-19-cases-in-singapore-including-20-in-the-community-3-imported,"157 new Covid-19 cases in Singapore, including 20 in the community, 3 imported",7/7/20,12577,7613,2641,2323
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-imported-cases-citizen-pr-dormitories-jul-6-12904698,23 community cases among 183 new COVID-19 infections in Singapore,6/7/20,19491,12620,3347,3524
Straits Times,https://www.straitstimes.com/singapore/183-new-covid-19-cases-in-singapore-including-23-in-the-community-3-imported,"183 new Covid-19 cases in Singapore, including 23 in the community, 3 imported",6/7/20,15513,9013,3453,3047
Straits Times,https://www.straitstimes.com/politics/singapore-ge2020-opposition-parties-talk-like-covid-19-does-not-exist-says-pm-lee,"Singapore GE2020: Opposition parties talk as though Covid-19 doesn't exist, says PM Lee",6/7/20,8500,5042,1007,2452
Yahoo Singapore,https://sg.news.yahoo.com/ge-2020-elections-department-tells-parties-to-stop-shouting-slogans-as-it-raises-covid-19-risk-091914160.html,GE2020: Elections Department tells parties to stop shouting slogans as it raises COVID-19 risk,6/7/20,3955,2618,399,938
Channel News Asia,https://www.channelnewsasia.com/news/singapore/ge2020-pm-lee-lunchtime-rally-support-from-singaporeans-covid-19-12905296,GE2020: PM Lee calls for support from all Singaporeans in getting through COVID-19 crisis,6/7/20,3088,1950,192,946
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-imported-cases-citizens-pr-dormitory-workers-12902604,"Singapore reports 136 new COVID-19 cases, including 18 in the community",5/7/20,17311,11616,3180,2516
Straits Times,https://www.straitstimes.com/singapore/136-new-covid-19-cases-in-singapore-including-18-in-community-and-7-imported,"136 new Covid-19 cases in Singapore, including 18 in community and 7 imported",5/7/20,12245,7365,3022,1858
Straits Times,https://www.straitstimes.com/politics/singapore-ge2020-psps-tan-cheng-bock-proposes-televised-covid-19-debate-with-chan-chun-sing,Singapore GE2020: PSP's Tan Cheng Bock proposes televised Covid-19 debate with Chan Chun Sing,5/7/20,4675,2972,690,1015
Channel News Asia,https://www.channelnewsasia.com/news/singapore/ge2020-sdp-covid19-false-baseless-allegations-lawrence-wong-12902926,"GE2020: SDP made 'false and baseless allegations' on Government’s handling of COVID-19, says Lawrence Wong",5/7/20,4590,2401,443,1747
Straits Times,https://www.straitstimes.com/singapore/at-least-one-more-year-of-living-with-covid-19,At least one more year of living with Covid-19,5/7/20,4274,2373,1339,562
Straits Times,http://www.straitstimes.com:80/singapore/at-least-one-more-year-of-living-with-covid-19,At least one more year of living with Covid-19,5/7/20,4274,2373,1339,562
Straits Times,https://www.straitstimes.com/politics/singapore-ge2020-lawrence-wong-refutes-sdp-chairman-paul-tambyahs-remarks-on-covid-19-task,Singapore GE2020: Lawrence Wong refutes SDP chair Paul Tambyah's remarks on Covid-19 task force as 'baseless and false',5/7/20,3671,1966,387,1319
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-imported-cases-citizen-pr-dormitory-jul-4-12900486,"Singapore reports 185 new COVID-19 infections, with 9 in the community and 1 imported case",4/7/20,7726,5794,1443,489
Straits Times,https://www.straitstimes.com/singapore/185-new-covid-19-cases-in-singapore-including-9-in-the-community,"185 new Covid-19 cases in Singapore, including 9 in the community",4/7/20,4464,3245,980,240
Channel News Asia,https://www.channelnewsasia.com/news/singapore/ge2020-chan-chun-sing-focus-covid-19-crisis-tanjong-pagar-grc-12900878,Focus of GE2020 should be about how Singapore can get through COVID-19 crisis: Chan Chun Sing,4/7/20,4396,2645,281,1472
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-imported-cases-citizen-pr-dormitory-jul-3-12896712,"Singapore reports 169 new COVID-19 infections, including 11 community cases and 3 imported cases",3/7/20,7791,5772,1375,644
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-cinemas-can-reopen-jul-13-limit-50-patrons-12899264,COVID-19: Cinemas can reopen on Jul 13 with maximum of 50 patrons per hall,3/7/20,7360,4746,1487,1127
Straits Times,https://www.straitstimes.com/singapore/169-new-covid-19-patients-in-singapore-including-11-in-the-community-3-imported,"169 new Covid-19 patients in Singapore, including 11 in the community",3/7/20,6216,4140,1495,581
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-9-confirmed-covid-19-cases-detected-in-blk-111-tampines-st-11-residents,"Coronavirus: 9 confirmed Covid-19 cases detected in Blk 111 Tampines St 11, residents of 58 households and their visitors offered testing",2/7/20,27261,14177,8008,5086
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-cases-imported-community-jul-2-citizen-pr-12892884,"Singapore reports 188 new COVID-19 infections, including 10 cases in the community",2/7/20,8119,5972,1553,594
Straits Times,https://www.straitstimes.com/singapore/188-new-covid-19-cases-in-singapore-including-10-in-the-community-and-1-imported,"188 new Covid-19 cases in Singapore, including 10 in the community and 1 imported",2/7/20,5650,3897,1191,562
Straits Times,https://www.straitstimes.com/singapore/215-new-cases-in-singapore-including-10-in-the-community-and-4-imported,"215 new Covid-19 cases in Singapore, including 10 in the community and 4 imported",1/7/20,7091,4579,1729,783
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-cases-imported-community-jul-1-citizen-pr-12888510,"Singapore reports 215 new COVID-19 infections, including 4 imported cases",1/7/20,6304,4713,1084,507
Channel News Asia,https://www.channelnewsasia.com/news/singapore/ge2020-pap-lee-hsien-loong-facebook-address-covid-19-12889514,Singapore needs ‘best possible leadership’ and ‘solidly united population’ to get through COVID-19 and beyond: PM Lee,1/7/20,4277,3033,195,1050
Today Online,https://www.todayonline.com/singapore/funan-mall-mcdonalds-lucky-plaza-among-places-visited-covid-19-patients-while-infectious,"Funan Mall, McDonald’s at Lucky Plaza among places visited by Covid-19 patients while infectious",1/7/20,3071,1818,839,414
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-cases-jun-30-citizen-pr-dormitory-worker-12885692,"Singapore reports 246 new COVID-19 cases, including 6 in the community",30/6/20,7387,5502,1242,643
Straits Times,https://www.straitstimes.com/singapore/246-new-coronavirus-cases-in-singapore-including-6-in-the-community-78-more-dorms-cleared,"246 new coronavirus cases in Singapore, including 6 in the community; 78 more dorms cleared of Covid-19",30/6/20,3751,2540,937,274
Channel News Asia,https://www.channelnewsasia.com/news/singapore/singapore-reports-new-covid-19-cases-jun-29-moh-12879560,Singapore reports 202 new COVID-19 cases; 6 infections in community,29/6/20,7293,5536,1343,414
Straits Times,https://www.straitstimes.com/singapore/health/oldest-spore-covid-19-survivor-sees-son-at-last,Oldest S'pore Covid-19 survivor sees son at last,29/6/20,5906,5331,425,150
Straits Times,https://www.straitstimes.com/singapore/202-new-covid-19-cases-in-singapore-including-6-in-the-community,"202 new Covid-19 cases in Singapore, including 6 in the community",29/6/20,5119,3593,1279,247
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-case-42-bangladeshi-worker-discharged-singapore-12877772,'A new man': Bangladeshi who was critically ill with COVID-19 discharged from hospital after nearly 5 months,28/6/20,14112,12439,1050,623
Straits Times,https://www.straitstimes.com/singapore/213-new-covid-19-cases-in-singapore-including-11-in-the-community,"213 new Covid-19 cases in Singapore, including 11 in the community",28/6/20,7866,5195,1686,985
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-cases-jun-28-citizens-pr-dormitory-workers-12877460,"COVID-19: Singapore reports 11 new community cases for second day, out of 213 infections",28/6/20,6816,4644,1375,797
Straits Times,https://www.straitstimes.com/singapore/three-new-singaporean-covid-19-cases-from-family-cluster-including-5-year-old-boy,"Three new Singaporean Covid-19 cases from family cluster, including 5-year-old boy",28/6/20,6693,4193,1911,591
Today Online,https://www.todayonline.com/singapore/mcdonalds-outlet-tampines-mart-mustafa-centre-among-latest-places-visited-infectious-covid,"McDonald's outlet in Tampines Mart, Mustafa Centre among latest places visited by infectious Covid-19 patients",28/6/20,4562,2400,1324,838
Straits Times,https://www.straitstimes.com/singapore/education/home-based-learning-set-to-be-regular-part-of-schooling-post-covid-19-says,"Home-based learning set to be regular part of schooling post Covid-19, says Education Minister Ong Ye Kung",28/6/20,3578,2015,907,656
Channel News Asia,https://www.channelnewsasia.com/news/singapore/moonstone-chico-loco-amoy-street-suspended-covid-19-stb-12878350,"2 Amoy Street bars ordered to cease operations, fined for breaching COVID-19 safety measures",28/6/20,3578,2540,691,347
Straits Times,https://www.straitstimes.com/sport/badminton-activesg-indoor-sport-halls-to-be-closed-on-sunday-for-time-out-after-cross-court,All ActiveSG indoor sport halls to be closed on June 28 for ‘time-out’ after Covid-19 patient played badminton in large group,27/6/20,21844,11398,6698,3748
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-cases-jun-27-citizens-pr-dormitory-workers-12875974,11 community cases among 291 new COVID-19 infections reported in Singapore,27/6/20,15848,10451,3472,1925
Channel News Asia,https://www.channelnewsasia.com/news/singapore/ge2020-pap-manifesto-migrant-worker-economy-covid-19-12875812,"GE2020: PAP launches manifesto focusing on jobs, economy and keeping lives safe amid COVID-19 pandemic",27/6/20,5426,3072,423,1931
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-activesg-sport-hall-close-badminton-group-jurong-12876358,All ActiveSG indoor sport halls to close for ‘time-out’ after COVID-19 case played badminton with large group at Jurong facility,27/6/20,4662,2665,1036,963
Today Online,https://www.todayonline.com/singapore/all-activesg-indoor-sports-halls-shut-safety-time-out-after-covid-19-patient-played,All ActiveSG indoor sports halls to shut for safety ‘time-out’ after Covid-19 patient played badminton in large group,27/6/20,3120,1963,582,575
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-community-cases-jun-26-citizens-pr-dormitory-workers-12872430,"Singapore reports 219 new COVID-19 cases, including 6 in the community",26/6/20,10980,7954,2272,755
Straits Times,https://www.straitstimes.com/singapore/health/12-places-including-313somerset-vivocity-and-bugis-junction-among-those-visited-by,"12 places including 313@somerset, VivoCity and Bugis Junction among those visited by Covid-19 patients",25/6/20,28578,15108,6019,7451
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-moh-vivocity-bugis-junction-lucky-plaza-12870958,"VivoCity, 313@somerset, Lucky Plaza and 9 other locations visited by COVID-19 cases",25/6/20,26833,13509,7845,5480
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-robertson-quay-work-pass-holders-permanent-banned-12870594,6 who flouted COVID-19 laws at Robertson Quay permanently banned from working in Singapore,25/6/20,26104,17211,3920,4973
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-community-citizen-foreign-wokers-jun-25-12868780,"Singapore reports 113 new COVID-19 infections, including 5 community cases",25/6/20,20442,13763,4471,2208
Channel News Asia,https://www.channelnewsasia.com/news/singapore/robertson-quay-gatherings-seven-fined-covid-19-circuit-breaker-12869052,7 people fined over social gatherings at Robertson Quay during COVID-19 circuit breaker,25/6/20,12910,7774,1720,3416
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-singapore-residents-get-two-free-reusable-masks-temasek-12868966,COVID-19: Every Singapore resident to get a pair of reusable masks from Jun 29,25/6/20,11712,7629,2887,1196
Straits Times,https://www.straitstimes.com/singapore/courts-crime/seven-people-fined-for-breaching-covid-19-circuit-breaker-measures-in,Seven people fined for breaching Covid-19 circuit breaker measures in Robertson Quay incident,25/6/20,8698,5401,1183,2114
Straits Times,https://www.straitstimes.com/singapore/health/covid-19-testing-to-be-extended-to-those-aged-13-and-above-with-acute-respiratory,Covid-19 testing to be extended to those aged 13 and above with acute respiratory infection from July 1,25/6/20,5123,3222,1658,243
Today Online,https://www.todayonline.com/singapore/6-people-robertson-quay-gathering-get-work-passes-revoked-among-140-who-breached-law,6 foreigners in Robertson Quay gathering among 140 whose work passes were revoked for flouting Covid-19 measures,25/6/20,4193,2972,553,668
Straits Times,https://www.straitstimes.com/singapore/health/113-new-covid-19-cases-in-singapore-including-5-in-the-community,"113 new Covid-19 cases in Singapore, including 5 in the community",25/6/20,4170,2903,871,396
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-cases-singapore-community-citizen-pr-jun-24-moh-12865432,"Singapore reports 191 new COVID-19 cases, including 7 in the community",24/6/20,7513,5444,1458,611
Straits Times,https://www.straitstimes.com/singapore/191-new-covid-19-cases-in-singapore-including-7-in-the-community,"191 new Covid-19 cases in Singapore, including 7 in the community",24/6/20,5756,3871,1392,493
Channel News Asia,https://www.channelnewsasia.com/news/singapore/public-libraries-reopen-july-1-nlb-covid-19-phase-2-12866858,"COVID-19: Public libraries to reopen on Jul 1, seating and study areas remain closed",24/6/20,5400,3700,1179,521
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-cases-singapore-community-citizen-pr-jun-23-moh-12861440,"119 new COVID-19 infections in Singapore, including 3 community cases",23/6/20,17316,13317,2846,1155
Today Online,https://www.todayonline.com/singapore/seoul-garden-restaurant-northpoint-city-among-places-visited-infectious-covid-19-patients,Seoul Garden restaurant in Northpoint City among places visited by infectious Covid-19 patients on first day of Phase 2 reopening ,23/6/20,13946,6366,5360,2220
Straits Times,https://www.straitstimes.com/singapore/health/119-new-covid-19-cases-in-singapore-including-3-in-community,"119 new Covid-19 cases in Singapore, including 3 in community",23/6/20,5195,3937,838,420
Straits Times,https://www.straitstimes.com/singapore/coronavirus-spore-to-start-phase-2-reopening-on-june-19-dining-in-public-social-gatherings,"Coronavirus: S'pore to start phase 2 reopening on June 19; F&B dine-in, social gatherings of up to 5 people allowed",15/6/20,120668,70457,20054,30157
Straits Times,https://www.straitstimes.com/singapore/coronavirus-mom-says-maids-can-soon-spend-their-rest-days-outside-but-should-do-so-on-a,Coronavirus: MOM says maids can soon spend their rest days outside but should do so on a weekday,17/6/20,29890,17442,3085,9363
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-cases-singapore-community-citizen-pr-jun-22-moh-12857942,"Singapore reports 218 new cases of COVID-19, including 1 case in the community",22/6/20,22386,17013,3954,1422
Straits Times,https://www.straitstimes.com/singapore/517-new-coronavirus-cases-including-15-in-community,"517 new coronavirus cases in Singapore, including 15 in community",4/6/20,24953,14719,4736,5498
Straits Times,https://www.straitstimes.com/singapore/218-new-covid-19-cases-in-singapore-including-one-in-community,"218 new Covid-19 cases in Singapore, including one in community",22/6/20,7658,5495,1647,516
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-more-people-getting-infected-at-workplaces-following-phase-2-re-opening,Coronavirus: More people getting infected at workplaces following phase 2 reopening,7/7/20,24158,12716,7768,3674
Straits Times,https://www.straitstimes.com/singapore/covid-19-patients-visited-supermarkets-in-jalan-kayu-serangoon-north-and-jurong-west,"Covid-19 patients visited supermarkets in Jalan Kayu, Serangoon North and Jurong West",22/6/20,5717,3054,2070,593
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-ntuc-fairprice-further-extends-price-freeze-12858526,COVID-19: NTUC FairPrice further extends price freeze of 100 housebrand products,22/6/20,3811,2684,630,497
Straits Times,https://www.straitstimes.com/singapore/569-new-coronavirus-cases-including-7-community-cases,"569 new coronavirus cases in Singapore, including 7 community cases",3/6/20,17334,10676,3749,2909
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-jun-21-community-cases-tally-moh-dormitory-workers-12855754,"Singapore reports 262 new COVID-19 cases, including 9 in the community",21/6/20,18088,12505,3438,2145
Straits Times,https://www.straitstimes.com/singapore/262-new-covid-19-cases-in-singapore-including-9-in-the-community,"262 new Covid-19 cases in Singapore, including 9 in the community",21/6/20,7734,5147,1735,852
Straits Times,https://www.straitstimes.com/singapore/health/ntu-student-among-2-sporean-covid-19-cases-262-new-cases-confirmed,NTU student among 2 Singaporean Covid-19 cases; 262 new cases confirmed,21/6/20,4893,3171,1276,446
Straits Times,https://www.straitstimes.com/asia/se-asia/one-month-old-baby-dies-in-indonesia-after-catching-coronavirus-from-visitors,One-month-old baby dies in Indonesia after catching coronavirus from visitors,24/6/20,14699,11632,2269,798
Straits Times,https://www.straitstimes.com/singapore/261-new-coronavirus-cases-including-11-in-community,"261 new coronavirus cases in Singapore, including 11 in community",5/6/20,14486,9165,3007,2314
Straits Times,https://www.straitstimes.com/singapore/408-new-coronavirus-cases-taking-total-to-35292,"408 new coronavirus cases, with none in community, taking total to 35,292",1/6/20,12566,8576,2233,1757
Straits Times,https://www.straitstimes.com/singapore/291-new-coronavirus-cases-in-singapore-including-11-in-the-community,"291 new coronavirus cases in Singapore, including 11 in the community",27/6/20,11620,7382,2493,1745
Straits Times,https://www.straitstimes.com/singapore/manpower/coronavirus-resorts-world-sentosa-to-retrench-staff-amid-devastating-impact-of,Coronavirus: Resorts World Sentosa to retrench staff amid 'devastating impact' of pandemic,15/7/20,11605,7319,2253,2034
Channel News Asia,https://www.channelnewsasia.com/news/singapore/new-covid-19-cases-community-phase-2-june-20-12854378,"218 new COVID-19 infections in Singapore, including 2 community cases",20/6/20,11778,8695,2163,922
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-british-indian-curry-hut-closed-lorong-mambong-12854620,COVID-19: Restaurant ordered to close after crowds seen along Lorong Mambong in Holland Village,20/6/20,11612,8295,1662,1655
Straits Times,https://www.straitstimes.com/singapore/one-covid-19-patient-remains-in-icu-moh,One Covid-19 patient remains in ICU: MOH,20/6/20,7624,6545,750,329
Straits Times,https://www.straitstimes.com/singapore/transport/coronavirus-sia-to-resume-flights-to-more-destinations-in-june-and-july-and,"Coronavirus: SIA to resume flights to more destinations in June and July, and increase flight frequencies",1/6/20,11194,8459,1631,1104
Straits Times,https://www.straitstimes.com/singapore/218-new-covid-19-cases-in-singapore-including-2-in-the-community,"218 new Covid-19 cases in Singapore, including 2 in the community",20/6/20,4025,2829,845,351
Straits Times,https://www.straitstimes.com/singapore/151-new-coronavirus-cases-in-singapore-including-2-in-the-community,"151 new coronavirus cases in Singapore, including 2 in the community",16/6/20,10574,7571,1673,1332
Straits Times,https://www.straitstimes.com/singapore/544-new-coronavirus-cases-including-4-community-cases,"544 new coronavirus cases, including 4 community cases",2/6/20,9962,6591,2028,1343
Straits Times,https://www.straitstimes.com/singapore/219-new-coronavirus-cases-including-6-in-the-community,"219 new coronavirus cases in Singapore, including 6 in the community",26/6/20,9737,6487,2461,789
Straits Times,https://www.straitstimes.com/singapore/transport/coronavirus-passengers-to-be-banned-from-front-seat-of-grab-car-have-to-declare,Coronavirus: Passengers to be banned from front seat of Grab car; have to declare health and hygiene status,2/6/20,9158,3908,3438,1812
Straits Times,https://www.straitstimes.com/singapore/coronavirus-213-new-cases-detected-including-secondary-school-student,"Coronavirus: 213 new cases detected, including secondary school student",29/6/20,8808,5301,2385,1122
Straits Times,https://www.straitstimes.com/singapore/coronavirus-holland-village-restaurant-ordered-to-close-after-crowds-gather-at-eatery,Coronavirus: Holland Village restaurant ordered to close after crowds gather at eatery,20/6/20,8779,5988,1348,1443
Channel News Asia,https://www.channelnewsasia.com/news/asia/singapore-malaysia-covid-19-swab-test-quarantine-ismail-sabri-12852046,"Singaporeans may be allowed to enter Malaysia without COVID-19 restrictions, but this should be a reciprocal arrangement: Putrajaya",19/6/20,50190,26045,14243,9902
Straits Times,https://www.straitstimes.com/singapore/transport/14-public-transport-staff-have-caught-covid-19,14 public transport staff have caught Covid-19,19/6/20,19881,10857,5894,3130
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-four-students-and-school-teacher-among-new-cases-in-the-community,Coronavirus: Four students and school teacher among new cases in the community,8/7/20,8280,4929,2151,1200
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-jun-19-community-cases-changi-prison-inmate-phase-2-12850764,"Singapore reports 142 new COVID-19 cases, including prison inmate on social visit pass",19/6/20,11383,8085,2420,878
Straits Times,https://www.straitstimes.com/singapore/142-new-covid-19-cases-in-singapore-including-one-in-the-community-involving-prison-inmate,"142 new Covid-19 cases in Singapore, including one in community involving prison inmate",19/6/20,7953,5523,1598,832
Straits Times,https://www.straitstimes.com/singapore/214-new-coronavirus-cases-in-singapore-including-3-in-the-community,"214 new coronavirus cases in Singapore, including 3 in the community",15/6/20,7108,4806,1399,906
Straits Times,https://www.straitstimes.com/singapore/migrant-workers-volunteer-to-help-curb-virus-spread-in-dorms,Migrant workers volunteer to help curb virus spread in dorms,8/6/20,7001,5743,1101,157
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-jun-18-community-cases-citizen-pr-dormitory-workers-12846940,"257 new COVID-19 cases in Singapore, including 4 in the community",18/6/20,6726,4845,1381,500
Straits Times,https://www.straitstimes.com/singapore/257-new-covid-19-cases-in-singapore-including-4-in-the-community,"257 new Covid-19 cases in Singapore, including 4 in the community",18/6/20,3619,2432,875,312
