site_name,url,title,date,facebook_total,facebook_likes,facebook_shares,facebook_comments
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-fairprice-chief-urges-calm-amid-panic-buying-of-groceries-singapores,Coronavirus: FairPrice chief urges calm amid panic-buying of groceries; Singapore's food security unlikely to be affected,7/2/20,23827,12887,3947,6993
Straits Times,https://www.straitstimes.com/singapore/grace-assembly-coronavirus-mystery-solved-mega-cluster-linked-to-2-wuhan-tourists-via-a,Grace Assembly coronavirus mystery solved: Mega-cluster linked to 2 Wuhan tourists via a CNY party and Life Church cluster,25/2/20,23399,15636,5882,1881
Straits Times,https://www.straitstimes.com/singapore/coronavirus-singapore-confirms-3-more-coronavirus-cases-including-71-year-old-grandfather,"3 new coronavirus cases in Singapore, including 71-year-old grandfather; 4 more recovered, 6 in critical condition in ICU",9/2/20,22915,13132,6133,3650
Straits Times,https://www.straitstimes.com/asia/se-asia/how-to-avoid-coronavirus-on-flights-forget-masks-says-top-airline-doctor,"How to avoid coronavirus on flights: Forget masks, says top airline doctor",6/2/20,21999,11622,7812,2565
Channel News Asia,https://www.channelnewsasia.com/news/singapore/coronavirus-fairprice-purchase-limits-paper-rice-instant-noodles-12412538,"FairPrice imposes purchase limits for paper products, rice and instant noodles amid coronavirus outbreak",9/2/20,21661,14146,3845,3671
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-docs-to-give-5-day-medical-leave-to-patients-with-respiratory-symptoms,Coronavirus: Docs to give 5-day medical leave to patients with respiratory symptoms; flat subsidised rates for S'poreans at designated clinics,14/2/20,21522,11251,7407,2864
Yahoo Singapore,https://sg.news.yahoo.com/coronavirus-singapore-raises-dorscon-response-level-to-orange-092612715.html,Coronavirus: Singapore raises Dorscon response level to ‘orange’,7/2/20,20663,11112,4966,4585
Straits Times,https://www.straitstimes.com/singapore/coronavirus-singapore-permanent-resident-who-breached-stay-home-notice-stripped-of-pr,"Man who breached coronavirus stay-home notice stripped of Singapore PR status, barred from re-entry",26/2/20,20520,13985,4405,2130
Straits Times,https://www.straitstimes.com/singapore/coronavirus-catholic-church-to-suspend-mass-indefinitely-advises-events-to-be-suspended,"Coronavirus: Catholic church to suspend mass indefinitely, advises events to be suspended too",14/2/20,19961,13341,3819,2801
Straits Times,https://www.straitstimes.com/singapore/fear-and-panic-can-do-more-harm-than-the-coronavirus-says-pm-lee-hsien-loong,"Fear and panic can do more harm than the coronavirus, says PM Lee Hsien Loong",8/2/20,19404,13856,3270,2278
Yahoo Singapore,https://sg.news.yahoo.com/coronavirus-3-new-cases-in-singapore-total-at-43-134125811.html,"Coronavirus: 3 new cases in Singapore, total at 43",9/2/20,19138,11886,3704,3548
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-virus-2-more-confirmed-cases-in-singapore-total-at-30-135136289.html,"Wuhan virus: 2 more confirmed cases in Singapore, total at 30",6/2/20,18910,11848,2653,4409
Channel News Asia,https://www.channelnewsasia.com/news/singapore/novel-coronavirus-confirmed-cases-singapore-feb-10-12417508,"2 new coronavirus cases in Singapore, including Certis Cisco employee who served quarantine orders",10/2/20,17509,10462,4444,2605
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-singapore-cases-number-12401016,"Coronavirus outbreak: Singapore confirms 2 more cases, one who attended Grand Hyatt meeting",6/2/20,17467,10556,3887,3024
Yahoo Singapore,https://sg.news.yahoo.com/coronavirus-7-new-confirmed-cases-including-taxi-driver-and-private-hire-car-driver-total-at-40-150814859.html,"Coronavirus: 7 new confirmed cases including taxi driver and private hire car driver, total at 40",8/2/20,17217,10339,4033,2845
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-made-in-singapore-diagnostics-test-implemented-at-hospitals-here,Coronavirus: Made-in-Singapore diagnostics test implemented at hospitals here,8/2/20,16872,12881,3233,758
Channel News Asia,https://www.channelnewsasia.com/news/commentary/hot-climate-wuhan-virus-vaccine-12389694,Commentary: Hot and dry climate may end the novel coronavirus – as well as the development of a vaccine,5/2/20,16551,10553,4539,1459
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-virus-singapore-confirms-first-locally-transmitted-cluster-in-4-of-6-new-cases-100004084.html,Wuhan virus: Singapore confirms first locally transmitted cluster in 4 of 6 new cases,4/2/20,15699,9018,3586,3095
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-patient-condition-worsened-12402084,Condition worsens for 2 coronavirus patients in Singapore: MOH,6/2/20,15415,9652,3748,2015
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-turn-off-air-conditioners-and-open-windows-to-reduce-risk-of-being,"Coronavirus: Turn off air-conditioners and open windows to reduce risk of being infected, say experts",10/2/20,15303,8659,5061,1583
Straits Times,https://www.straitstimes.com/singapore/health/singapore-confirms-2-more-wuhan-virus-cases-including-2nd-singaporean-woman-on,"Singapore confirms 2 more Wuhan virus cases, including 2nd Singaporean woman on Scoot flight from Wuhan",1/2/20,14924,8943,4593,1388
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-moh-new-cases-feb-7-12405040,"Novel coronavirus: 3 new patients in Singapore with no China travel, link to existing cases",7/2/20,14356,8499,3224,2633
Straits Times,https://www.straitstimes.com/singapore/health/new-coronavirus-cluster-at-e-learning-company-in-science-park-ii-with-4-staff,"New coronavirus cluster at company in Science Park II with 4 staff infected, including 2 new cases confirmed",28/2/20,13966,7809,4617,1540
Mothership,https://www.mothership.sg/2020/02/cid-coronavirus,Coronavirus: How CID officers figured out link between 3 seemingly unrelated cases in just 1 day,11/2/20,13108,9358,2730,1020
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-virus-singapore-confirms-4-additional-cases-including-6-month-old-infant-total-tally-at-28-140304566.html,"Wuhan virus: Singapore confirms 4 new cases, including 6-month-old infant; total at 28",5/2/20,12982,8040,2749,2193
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-no-new-cases-feb-3-12384398,No new cases of novel coronavirus in Singapore for second day running; total remains at 18,3/2/20,12949,10350,1734,865
Mothership,https://www.mothership.sg/2020/02/coronavirus-bangladesh-worker-mustafa,Coronavirus: Bangladeshi worker who visited Mustafa among new cases on Feb. 9,9/2/20,12875,7254,3201,2422
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-dbs-employee-mbfc-12426336,"DBS employee infected with novel coronavirus, some staff told to work from home",12/2/20,12753,8492,2809,1453
Straits Times,https://www.straitstimes.com/singapore/coronavirus-41-year-old-infected-man-had-lohei-lunch-with-colleagues-at-least-eight-now,Coronavirus: 41-year-old infected man had lohei lunch with colleagues; at least eight now quarantined,7/2/20,12365,6279,3785,2301
Straits Times,https://www.straitstimes.com/singapore/coronavirus-four-new-cases-confirmed-all-linked-to-wizlearn-technologies-cluster-three,"Coronavirus: Four new cases confirmed, all linked to Wizlearn Technologies cluster; three others discharged",29/2/20,12319,7791,3227,1301
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-travel-advisories-to-singapore-12422306,"Novel coronavirus: South Korea, Israel advise citizens to defer travel to Singapore",11/2/20,12270,7760,2596,1915
Mothership,https://www.mothership.sg/2020/02/singapore-confirmed-cases-coronavirus-33,"Coronavirus: 42-year-old S’porean VJC teacher among 3 new cases, total cases at 33",7/2/20,12018,6031,3692,2295
Straits Times,https://www.straitstimes.com/singapore/coronavirus-detection-in-singapore-gold-standard-for-case-detection-harvard-study,Coronavirus detection in Singapore 'gold standard' for case detection: Harvard study,18/2/20,11685,8661,2006,1018
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-patient-ms-jiang-53-talks-of-experience-in-singapore,S'pore's second coronavirus patient says she was not afraid because of the 'wonderful medical team',8/2/20,11301,9024,1723,555
Straits Times,https://www.straitstimes.com/singapore/coronavirus-2-new-cases-in-singapore-including-certis-cisco-staff-who-had-served,"Coronavirus: 2 new cases in Singapore, including Certis Cisco staff who had served quarantine orders",10/2/20,11284,6893,2856,1536
Yahoo Singapore,https://sg.news.yahoo.com/coronavirus-dont-shake-hands-adopt-alternative-greetings-says-ministry-of-health-093611261.html,"Coronavirus: Don&#39;t shake hands, adopt alternative greetings, says Ministry of Health",7/2/20,11249,6765,2312,2172
Yahoo Singapore,https://sg.news.yahoo.com/coronavirus-do-not-hoard-items-unnecessarily-as-it-will-create-undue-panic-chan-chun-sing-131321616.html,Coronavirus: Do not hoard items unnecessarily as it will create ‘undue panic’ - Chan Chun Sing,7/2/20,11139,5918,1713,3508
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-4-new-cases-including-3-linked-to-grace-assembly-of-god-church-21-cases,Coronavirus: 4 new cases including 3 linked to Grace Assembly of God church; 21 cases now linked to the cluster,18/2/20,11065,6694,2965,1407
Mothership,https://www.mothership.sg/2020/02/wuhan-virus-singapore-local-transmission,"Wuhan virus: 4 cases of human-to-human transmission in S’pore, 6 new cases in total",4/2/20,11014,5319,3686,2011
